doc33-1|null|null|#超长质保超高性价比景逸suv受欢迎#高配低价成就市场典范拼车模、比促销，这些方法虽然在短时间内能hold住消费者，但高性价比才是领跑销量的诀窍，景逸suv这匹黑马在市场上率先悟出了这个道理，凭借“三高三低”的六大优势成为了细分市场中高性价比的典范。
doc92-2|null|null|易道现在太火了，上次订车高峰期我都没订上。。
doc94-1|null|null|我个人还是新揽胜，因为我喜欢开suv.
doc148-2|null|null|但玩civic的人都知道，type-r的k20a引擎系多么出色、经典的作品！
doc230-2|null|null|今天又试了试新帕萨特，感觉比迈腾好，至少动力系统和降噪方面比迈腾强。
doc295-1|null|null|印象中，身边几个奔驰s的朋友倒是很喜欢去搜狐。
doc323-1|null|null|不论大牌只要国产化很多车内空气质量不合格，于是我们最喜欢买二年左右的二手车，已经被吸得查不多了，而且性价比很高
doc345-1|null|null|日产价格稳定，值得拥有！
doc1301-1|null|null|说报销打的费，我有个朋友周小胖车子修了6天，如果要报销打的，要这个那个的，看来还是算了吧，专营店还送我7788的保养，都比电销便宜呢…
doc1511-1|null|null|有的客户说不好一点就是贱价格已经快放到底线了还tm磨磨唧唧看了便宜的车还想买更贵的车我是怕首付都付不起还说哪里哪里便宜日系车要打折卖我去你妹的你不买车我不求你也不差你这一单可你别侮辱车的价值好歹丰田品牌价值世界第一
doc1776-1|null|null|大众甲壳虫呀我老想买了，日本还没有这车很有感慨！！！
doc1999-1|null|null|怪不得大家都喜欢买奔驰呢，光是设计都很吸引人想始终使自己处于最舒适的车内气候，获得最佳的驾控体验？
doc2054-1|null|null|老师说他想买一台天籁或者朗逸~啊啊啊~激动死我了~天籁也是我多年来的梦想~老师，我能不能说好巧啊~（ps：我说要买日产车貌似很欠揍……
doc2146-1|null|null|一路坐平稳舒适的tgv从巴黎到尼斯，窗外的牛跟草是一种说不出的自由自在，黄昏里矮矮的牧草无边无际，真想买座农庄留在这里......
doc2151-3|null|null|以奔驰的品牌，应该不会赞助中超球队，太掉价了。
doc2151-4|null|null|全世界赞助顶级球队的，奥迪算最多的，皇马巴萨拜仁，以前还有曼联。
doc2197-1|null|null|q5现在优惠1万以上还有送精品啥的，保养比奔驰好点。
doc2340-1|null|null|还好不是计划买途锐的钱，这样吧，剩下的还能买个高配捷达王拿着买途观的钱，我没动手，幻想着x1。
doc2595-1|null|null|路上新速腾明显增多，同样是一汽大众，同样是家族式外观，个人感觉新速腾的外观明显胜于新迈腾的改变，而同级别的新帕萨特外观也要比迈腾漂亮好几分！
doc2619-1|null|null|日本人在泰国做的汽车销售真不是一般的好！
doc2623-1|null|null|我觉得马路上跑的京v，有的挺懂事的。
doc2651-1|null|null|两款车偏重点不同，奇骏在承载方面优势很大！
doc2708-1|null|null|因为，一百多年的精工制造经验以及不懈追求完美的信念是成就奥迪的唯一方式。
doc2839-1|null|null|但中国汽车市场对德国而言仍然相当乐观，在整个高档车领域，德国品牌奥迪、奔驰和宝马占据着70%以上的市场份额。
doc2854-1|null|null|中国车王卢宁军：a60操控性堪比宝马“制动效率和制动效果，超出我的判断，领先其他同级别车型，堪比奥迪、宝马等豪华车型，安全、操控俱佳，是一款真正的幸福座驾。
doc2933-1|null|null|这个我要直播，驾校老师又说，那个南沙丰田的凯美瑞混合动力，2.4的动力比得上3.0的，每百公里只要6个油，混合动力现在还不用摇号……
doc2967-1|null|null|没关系，帕萨特+迈腾还在延续神车的dna.....
doc3012-1|null|null|大众有一款神车叫高尔夫，它加两个不一样的屁股就分别变成了速腾和朗逸，改个敞篷就是eos，放大一点就是帕萨特，迈腾和cc，再放大一点就是辉腾；
doc3051-1|null|null|这车真好看！
doc3058-1|null|null|动力4.2升的v8发动机，最高时速301km/h，奥迪r8，一款无与伦比的超级跑车。
doc3095-3|null|null|三轮丰田好，缺腿也能跑！
doc3111-1|null|null|总的来看迈腾的性价比还是不错的，最后小8建议你考虑1.8t的。
doc3111-3|null|null|#车友问答#亲，小8认为迈腾1.4t家用足够，后排空间和后备箱的空间那是没话说了，在同系中优势明显。
doc3251-1|null|null|#西蒙汽车##新帕萨特#全新动力系统和传动系统的搭配让新帕萨特的动力性以及燃油经济性比帕萨特新领域好了不止一点点。
doc3339-1|null|null|感觉一汽丰田有一种独特的魅力，在不断吸引着我期待人品爆发啊~
doc3342-1|null|null|对奥迪没有什么抵抗力。。。
doc3411-1|null|null|尊瑞#，融粹丰田先进混合动力科技，兼优全面提升的隔音系统与比肩顶级豪车的高级配置，在启动时仅依靠电动机的动力启动，基本可以达到零噪音，让您安享驾乘乐趣。
doc3436-1|null|null|迈腾是我的最爱阿那啥，据悉，一汽大众会在#1111购物狂欢节#前将至少30个月的薪水打到员工的支付宝账号中。
doc3580-1|null|null|奔驰品牌当然意味着名贵豪华。
doc3640-1|null|null|广汽丰田敏锐的洞察到这一市场转变，并迅速推出至尊体验版的#新汉兰达#迎合市场的发展需求，获得了众多消费者的青睐。
doc3769-1|null|null|三款旅行车，我中意大众迈腾alltrack
doc3807-1|null|null|#迈腾旅行轿车#平稳扎实的底盘功夫就像小说中的武林高手，独步在开阔的平原上，绝尘而去。
